"","mean","sd","mean-2*sd","mean+2*sd","min_fin","max_fin"
"A/G",1.53026403673555,0.311048708751386,0.908166619232774,2.15236145423832,0.908166619232774,2.15236145423832
"ALB",41.726301050581,4.66375116968257,32.3987987112158,51.0538033899461,32.3987987112158,51.0538033899461
"ALP",82.5067553746608,55.9851436549016,-29.4635319351424,194.477042684464,11,194.477042684464
"ALT",28.2234387393029,58.8413735968344,-89.4593084543659,145.906185932972,3,145.906185932972
"apoA",1.28711577262924,0.301229900125258,0.68465597237872,1.88957557287975,0.68465597237872,1.88957557287975
"apoB",0.907560704097961,0.24504369716007,0.417473309777821,1.3976480984181,0.417473309777821,1.3976480984181
"AST",25.233209490016,34.5798665572138,-43.9265236244116,94.3929426044436,1,94.3929426044436
"AST/ALT",1.11708168092952,0.47686232706901,0.1633570267915,2.07080633506754,0.1633570267915,2.07080633506754
"Ca",2.28496382105336,0.146636459506843,1.99169090203968,2.57823674006705,1.99169090203968,2.57823674006705
"CHO",4.67839734223892,1.08121526469946,2.51596681283999,6.84082787163785,2.51596681283999,6.84082787163785
"CK",161.000879078828,358.129233145552,-555.257587212275,877.259345369932,3,877.259345369932
"CKMB",15.4668757392333,11.8243649551595,-8.18185417108567,39.1156056495522,1,39.1156056495522
"Cl",103.466607875878,3.0599944595826,97.3466189567132,109.586596795044,97.3466189567132,109.586596795044
"CO2",24.874017602449,2.68429977742439,19.5054180476003,30.2426171572978,19.5054180476003,30.2426171572978
"CREA",68.6320444583594,38.1902184283587,-7.74839239835792,145.012481315077,2,145.012481315077
"DBIL",3.89081680929521,6.56325540070684,-9.23569399211848,17.0173276107089,0.1,17.0173276107089
"GGT",33.8247265706533,71.0160797763766,-108.2074329821,175.856886123407,1,175.856886123407
"GLO",28.0668614763793,4.84861115889901,18.3696391585813,37.7640837941773,18.3696391585813,37.7640837941773
"GLU",5.32712273011897,1.38706810102827,2.55298652806243,8.10125893217552,2.55298652806243,8.10125893217552
"HDL-C",1.24750226118416,0.352167616836063,0.54316702751204,1.95183749485629,0.54316702751204,1.95183749485629
"IBIL",9.08910804981563,5.45387611202743,-1.81864417423924,19.9968602738705,0.2,19.9968602738705
"K",3.97271237737424,0.412804333185195,3.14710371100385,4.79832104374463,3.14710371100385,4.79832104374463
"LDH",171.188422737076,75.7105719757256,19.7672787856253,322.609566688528,19.7672787856253,322.609566688528
"LDL-C",2.73502156821819,0.870072560051151,0.994876448115884,4.47516668832049,0.994876448115884,4.47516668832049
"Mg",0.884715090795241,0.0904469327634997,0.703821225268242,1.06560895632224,0.703821225268242,1.06560895632224
"Na",139.998476657622,2.75162134966529,134.495233958291,145.501719356952,134.495233958291,145.501719356952
"P",1.20976240172546,0.217444324698291,0.774873752328876,1.64465105112204,0.774873752328876,1.64465105112204
"TBIL",12.9788763654074,9.80835708487166,-6.63783780433597,32.5955905351507,0.9,32.5955905351507
"TG",1.31873895498504,1.00716900415291,-0.695599053320774,3.33307696329086,0.07,3.33307696329086
"TP",69.7933479440618,6.81144838722349,56.1704511696148,83.4162447185088,56.1704511696148,83.4162447185088
"UA",329.711142419815,104.530890927764,120.649360564287,538.772924275343,120.649360564287,538.772924275343
"Urea",4.54981493077298,1.86982833441708,0.810158261938811,8.28947159960714,0.810158261938811,8.28947159960714
"BASO%",0.444507757601058,0.289380398954405,-0.134253040307752,1.02326855550987,0.04,1.02326855550987
"EO%",2.35806338273151,2.37420383658665,-2.3903442904418,7.10647105590482,0.04,7.10647105590482
"HCT",40.4983336812078,4.86686393805323,30.7646058051013,50.2320615573143,30.7646058051013,50.2320615573143
"HGB",134.222117859876,17.8661874288505,98.4897430021753,169.954492717577,98.4897430021753,169.954492717577
"LYM%",29.8637549572114,10.3766876771308,9.11037960294979,50.6171303114731,9.11037960294979,50.6171303114731
"MCH",29.5826723718083,2.4321810332456,24.718310305317,34.4470344382995,24.718310305317,34.4470344382995
"MCHC",331.017950323523,12.2505596943262,306.516830934871,355.519069712176,306.516830934871,355.519069712176
"MCV",89.3145341960621,6.09532654228502,77.123881111492,101.505187280632,77.123881111492,101.505187280632
"MON%",7.30211368538231,2.36615265459537,2.56980837619158,12.0344189945731,2.56980837619158,12.0344189945731
"MPV",10.097056981841,0.965100726758885,8.16685552832318,12.0272584353587,8.16685552832318,12.0272584353587
"NEU%",60.0578344813191,11.3425715172524,37.3726914468143,82.742977515824,37.3726914468143,82.742977515824
"PCT",0.250430668614764,0.0700556318762235,0.110319404862317,0.390541932367211,0.110319404862317,0.390541932367211
"PDW",11.5892959020385,1.98009363154114,7.62910863895628,15.5494831651208,7.62910863895628,15.5494831651208
"PLT",250.609754400612,75.2000452032378,100.209663994137,401.009844807088,100.209663994137,401.009844807088
"RBC",4.55139184582203,0.596548733800121,3.35829437822179,5.74448931342227,3.35829437822179,5.74448931342227
"RDW-CV",13.1060050093926,1.37541548067738,10.3551740480378,15.8568359707474,10.3551740480378,15.8568359707474
"WBC",7.30681868781744,2.89028030276074,1.52625808229595,13.0873792933389,1.52625808229595,13.0873792933389
